Key,Value
KünstlerIn,Leonardo <da Vinci>
Titel,Fünf groteske Kopfstudien (Mann wird von Zigeunern bedrängt)
Standort,Royal Collection <Großbritannien> (Aufbewahrungsort)
Material,Feder und Tinte auf Papier
Datierung,um 1490 - 1493
Bildnachweis,"Syson, Luke: Leonardo Da Vinci. Painter at the Court of Milan. Ausstellungskatalog. London 2011. S. 264, Kat. Nr. 74."
Aufbewahrungsort,Royal Collection <Großbritannien>
Inventarnummer,RL 12495r
Maße,"H 26 cm, B 20,5 cm"
PID,heidicon_kg-b57a5a69a1b5b1e7204098e8cf5bc97a3377131a
Anzahl der Bewertungen,0
Punkte,0
Anschaulicher Titel,Leonardo <da Vinci>: Fünf groteske Kopfstudien (Mann wird von Zigeunern
Quelldatenbank,"HeidICON - Europäische Kunstgeschichte, Ruprecht-Karls-Universität Heidelberg, Universitätsbibliothek, Ruprecht-Karls-Universität Heidelberg"
Link,http://prometheus.uni-koeln.de/pandora/image/show/heidicon_kg-b57a5a69a1b5b1e7204098e8cf5bc97a3377131a
"19. November 2014, 12",55 MEZ
