Key,Value
KünstlerIn,"Magnasco, Alessandro"
Titel,Der knausrige Maler zwischen Zigeunern und Vagabunden
Standort,Museo Giannettino Luxoro <Genua> (Aufbewahrungsort)
Datierung,1667 - 1749
Bildnachweis,"F. Franchini Guelfi, Alessandro Magnasco, Campomorone 1977, Tafel. LIII."
Aufbewahrungsort,Museo Giannettino Luxoro <Genua>
PID,heidicon_kg-2c181d2bf54e312a1941f4cbc53219d5c245adff
Anzahl der Bewertungen,0
Punkte,0
Anschaulicher Titel,"Magnasco, Alessandro: Der knausrige Maler zwischen Zigeunern und Vagabunden"
Quelldatenbank,"HeidICON - Europäische Kunstgeschichte, Ruprecht-Karls-Universität Heidelberg, Universitätsbibliothek, Ruprecht-Karls-Universität Heidelberg"
Link,http://prometheus.uni-koeln.de/pandora/image/show/heidicon_kg-2c181d2bf54e312a1941f4cbc53219d5c245adff
"19. November 2014, 12",53 MEZ
